Niger	11.8	20.9
Marshall Islands	22.7	27.9
Yemen	46.2	41.8
Chad	11	15.6
Djibouti	24.7	33.7
Central African Republic	3.3	4.4
Timor-Leste	16.8	18.7
Dominica	46.3	47.3
Vanuatu	15.7	25.3
Palau	38.8	40.4
Western Sahara	51.5	49.1
Montserrat	48.3	47.1
Ã…land Islands	15.1	18.5
Samoa	34.3	24.7
Sudan	36	37
SÃ£o TomÃ© & PrÃ­ncipe	50	43.8
Comoros	24.6	14.6
Solomon Islands	21.6	29.7
Guinea-Bissau	18.6	28.1
Nauru	47.7	13.1
Kiribati	20.6	26.8
American Samoa	18.3	38.8
Tonga	34.7	28.1
North Korea	1.7	4.1
Norfolk Island	17.5	5
Micronesia	40.9	41.1
Antarctica	10.8	16
St. Pierre & Miquelon	32.6	18.5
Niue	25.2	1
Cook Islands	11.4	29.7
St. Helena	14.3	49.8
Falkland Islands	42.8	43.7
Eritrea	18.3	48.3
Svalbard & Jan Mayen	24.1	11.3
Christmas Island	3	1
British Indian Ocean Territory	44.8	1
Tokelau	0	1
Tuvalu	42	100
Wallis & Futuna	9.3	0
